[0.0s - 30.0s]  Субтитры создавал DimaTorzok
[30.0s - 60.0s]  Добавил субтитры DimaTorzok
[60.0s - 90.0s]  Субтитры создал DimaTorzok
[150.0s - 180.0s]  Добавил субтитры DimaTorzok
[180.0s - 210.0s]  Добавил субтитры DimaTorzok
[210.0s - 240.0s]  Добавил субтитры DimaTorzok
[240.0s - 270.0s]  Добавил субтитры DimaTorzok
[270.0s - 300.0s]  Добавил субтитры DimaTorzok
[300.0s - 330.0s]  Добавил субтитры DimaTorzok
[330.0s - 360.0s]  Добавил субтитры DimaTorzok
[360.0s - 390.0s]  Добавил субтитры DimaTorzok
[390.0s - 420.0s]  Добавил субтитры DimaTorzok
[420.0s - 450.0s]  Добавил субтитры DimaTorzok
[450.0s - 480.0s]  Добавил субтитры DimaTorzok
[480.0s - 510.0s]  Добавил субтитры DimaTorzok
[510.0s - 540.0s]  Добавил субтитры DimaTorzok
[540.0s - 570.0s]  Добавил субтитры DimaTorzok
[570.0s - 600.0s]  Добавил субтитры DimaTorzok
[600.0s - 630.0s]  Добавил субтитры DimaTorzok
[630.0s - 660.0s]  Добавил субтитры DimaTorzok
[660.0s - 690.0s]  Добавил субтитры DimaTorzok
[690.0s - 720.0s]  Добавил субтитры DimaTorzok
[720.0s - 722.0s]  Добавил субтитры DimaTorzok
[722.0s - 724.0s]  Добавил субтитры DimaTorzok
[724.0s - 726.0s]  Добавил субтитры DimaTorzok
[726.0s - 728.0s]  Добавил субтитры DimaTorzok
[728.0s - 730.0s]  Добавил субтитры DimaTorzok
[730.0s - 732.0s]  Добавил субтитры DimaTorzok
[732.0s - 734.0s]  Добавил субтитры DimaTorzok
[734.0s - 736.0s]  Добавил субтитры DimaTorzok
[736.0s - 738.0s]  Добавил субтитры DimaTorzok
[738.0s - 740.0s]  Добавил субтитры DimaTorzok
[740.0s - 742.0s]  Добавил субтитры DimaTorzok
[742.0s - 744.0s]  Добавил субтитры DimaTorzok
[744.0s - 746.0s]  Добавил субтитры DimaTorzok
[746.0s - 754.6s]  уже другая дисциплина и так если в задачи оптимизации есть система ограничений то есть
[754.6s - 760.9s]  на переменные и есть обязательное требование не отрицательности переменных то есть все перемены
[760.9s - 765.9s]  должны быть больше или равно нулю то для ее решения используется методы математического
[765.9s - 773.3s]  программирования вот и как раз таки к методам математического программирования можно отнести
[773.3s - 781.2s]  посмотрите сколько восемь методов вот но мы с вами большую часть посвятим линейному
[781.2s - 786.8s]  программированию затронем и динамическое программирование они выделены у вас 7 то
[786.8s - 795.7s]  есть то с чем мы будем с вами работать дальше ну рассмотрим в двух словах что есть что значит
[795.7s - 802.8s]  если задачи не программирования да вот то есть ограничения
[803.3s - 810.2s]  улучшения классика есть условия отрицательности есть целевая функция который стремится либо к
[810.2s - 816.8s]  минимуму либо к максимуму если целочисленный программирование то у вас слово само
[816.8s - 826.7s]  целочисленной вам подсказывать на переменные накладываются условия целочисленности есть еще
[826.7s - 832.8s]  задачи булевского программирования слово бульевым уже сегодня с вами встречались это где переменные
[833.3s - 842.0s]  два значения 0 и 1 ну это может быть например задачи там а маршруте а назначениях там например
[842.0s - 847.8s]  какого-то работника на какую-то операцию так далее дальше задачи нелинейного программирования
